"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction","37/976","170/10563",0.217647058823529,2.35553881388621,5.68489674851695,5.68914104403202e-07,1.17694105348412e-05,7.3734262215415e-06,"104027/13866/54419/16800/71960/212539/71908/68178/53857/105787/109711/12739/218518/56332/12740/83814/67938/12394/67268/12567/108097/235442/17698/18754/67374/12737/22350/77579/22323/19053/18260/17475/11461/12738/22142/68328/58187",37
"Organismal Systems","Immune system","mmu04670","Leukocyte transendothelial migration","29/976","119/10563",0.243697478991597,2.63747589199614,5.73154346985887,8.29798893158623e-07,1.61566725667944e-05,1.01220050744426e-05,"18750/12767/54419/71908/109711/12739/29857/12740/67938/67268/22330/17698/19229/67374/12737/54354/22350/12385/14678/22323/18260/22329/11461/18613/12738/18752/69524/58187/22324",29
"Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway","33/976","149/10563",0.221476510067114,2.39698399163824,5.47939240888928,1.53094666946002e-06,2.81524081995147e-05,1.76372218645394e-05,"18750/17311/16590/30955/320127/11607/20698/13429/18591/19158/216148/104111/50784/14823/17532/19229/66922/14673/11512/18176/18590/67916/26417/54635/23797/224129/380921/64143/18805/19730/18595/18806/18783",33
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","23/976","86/10563",0.267441860465116,2.89445529927564,5.62822878115827,2.04281159281494e-06,3.55879282748287e-05,2.22955060268445e-05,"18750/53857/23939/18591/14609/73710/104111/26405/104318/11512/22151/14678/18176/18590/26417/54635/224129/18752/234889/18595/22142/19091/22153",23
"Human Diseases","Cancer: specific types","mmu05217","Basal cell carcinoma","19/976","63/10563",0.301587301587302,3.26400273224044,5.75054754552686,2.23589955287741e-06,3.70041376001211e-05,2.31827479956237e-05,"21414/22422/93897/13197/22417/319757/14634/22419/22059/14362/22418/14365/14368/12156/14369/14633/12006/22411/16576",19
"Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma","36/976","175/10563",0.205714285714286,2.22639344262295,5.2196273767536,3.28230724823863e-06,5.17354142460469e-05,3.2411755784612e-05,"18750/16001/21414/22422/93897/17295/13197/22417/216148/12567/18104/22419/22059/14362/21802/22418/19645/14365/83797/14368/14862/14369/18176/66993/26417/23797/57376/12006/22411/232223/21803/14871/11461/18752/21752/27412",36
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance","12/976","29/10563",0.413793103448276,4.47837761447145,5.98460782540614,4.25113410585174e-06,6.39602449562238e-05,4.0070498509703e-05,"11685/17250/76408/20509/239273/18033/14590/27416/19697/16193/11684/14276",12
"Human Diseases","Cancer: specific types","mmu05226","Gastric cancer","32/976","150/10563",0.213333333333333,2.30885245901639,5.15115971093651,5.13036587745486e-06,7.38326567581548e-05,4.62554726708745e-05,"14183/12043/13866/21414/22422/93897/12550/17295/13197/22417/14164/216148/22419/22059/14362/22418/19645/14365/14368/12385/14369/12557/18176/26417/23797/16480/12006/22411/21803/18671/21752/27412",32
"Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","22/976","86/10563",0.255813953488372,2.76860941669844,5.25435381109058,7.48287138638687e-06,0.000103201267870586,6.465463434729e-05,"16398/109620/13506/21414/16905/16416/14609/320910/13527/16400/16402/16651/20650/12385/110891/12295/12297/16480/16404/11461/16399/192897",22
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","25/976","107/10563",0.233644859813084,2.52867894898116,5.07086458816307,1.04445279898784e-05,0.00013828555058599,8.6634611116044e-05,"14183/14182/12043/231991/13866/16001/21414/20509/18033/50528/18591/18792/22059/21802/19645/15516/18176/19697/18590/26417/54635/23797/18791/18595/14276",25
