"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of cofactors and vitamins","mmu00785","Lipoic acid metabolism","10/952","19/10563",0.526315789473684,5.83978328173375,6.64518818168259,1.46370280460124e-06,2.15737065547748e-05,1.68811490507786e-05,"104174/68263/235339/18597/68133/13382/12039/13171/209692/79464",10
"Metabolism","Carbohydrate metabolism","mmu00020","Citrate cycle (TCA cycle)","13/952","32/10563",0.40625,4.50758272058824,6.25396392656045,1.6300632328246e-06,2.30246431636475e-05,1.80164883627982e-05,"68263/235339/18563/104112/17449/12974/11428/18597/71832/11429/13382/66945/56451",13
"Genetic Information Processing","Folding, sorting and degradation","mmu03060","Protein export","15/952","42/10563",0.357142857142857,3.96271008403361,6.05469899973917,1.80986871957708e-06,2.45418198374652e-05,1.92036596771968e-05,"66286/67398/20818/66212/24067/76687/100101806/53421/217337/20335/66384/27058/140740/665155/66624",15
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","43/952","229/10563",0.187772925764192,2.08345106601593,5.21675067520798,2.47625249000028e-06,3.22865228503882e-05,2.52637905862376e-05,"13645/76113/68312/54405/28080/68197/11651/22272/78330/56615/12861/12858/18708/227197/11951/12868/67264/66445/13521/26395/228033/66916/66694/66218/66945/11950/66046/66108/17706/12866/66142/17705/69875/17720/66152/14859/17719/75406/17711/230075/17708/17709/17710",43
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism","20/952","73/10563",0.273972602739726,3.03988718775181,5.50410998241662,4.31340104277437e-06,5.41571464259449e-05,4.23772734026956e-05,"68312/110208/14598/18263/100043497/93674/56615/20810/14775/14381/20135/23887/14380/68396/14854/14859/68044/14776/76263/75475",20
"Metabolism","Global and overview maps","mmu01240","Biosynthesis of cofactors","32/952","154/10563",0.207792207792208,2.30557677616501,5.13647926706333,5.45865130268571e-06,6.60886711289449e-05,5.17135386570225e-05,"56738/22169/56316/211347/331026/12892/56749/110006/54369/110119/13382/75735/12036/17252/77697/11669/633979/54391/66454/268566/216558/79464/54128/14854/226139/11637/108645/69080/15288/71147/56248/70383",32
"Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism","18/952","63/10563",0.285714285714286,3.17016806722689,5.43721193004385,6.78477354686736e-06,7.93116631857943e-05,6.20603605738865e-05,"16956/12613/14933/55979/16891/381925/14245/68262/71910/13350/102247/56752/14626/11669/19012/14732/66853/68393",18
"Metabolism","Lipid metabolism","mmu00061","Fatty acid biosynthesis","9/952","19/10563",0.473684210526316,5.25580495356037,5.84336593906632,1.51901193844329e-05,0.000171648349044091,0.000134312634557091,"14081/100705/14104/99035/107476/50790/257633/71147/223722",9
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis","18/952","67/10563",0.26865671641791,2.98090430201932,5.11913110889059,1.73527142338987e-05,0.000189760326622312,0.000148485025023514,"60525/68263/235339/11676/18641/68738/18597/15277/56752/13382/16828/11669/433182/18648/13806/18655/17330/319625",18
"Metabolism","Lipid metabolism","mmu00062","Fatty acid elongation","11/952","31/10563",0.354838709677419,3.93714421252372,5.15416075223988,4.69576184718324e-05,0.000497457270685975,0.000389253942595453,"68801/54325/170439/106529/93747/56348/54397/74559/30963/171281/72852",11
"Organismal Systems","Digestive system","mmu04978","Mineral absorption","15/952","55/10563",0.272727272727273,3.02606951871658,4.74114156095087,7.13995030480175e-05,0.000733467622220544,0.000573929019716122,"244698/11941/20531/22041/70358/11979/14319/22337/20537/20529/11936/52466/18174/71775/74051",15
