"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"1",1,0.276918820400519,377.94647808513,0.215024648193068,9.64606508358539,9.6716041839688,9.80696140457355
"2",2,0.126830708139608,133.552664158417,0.0788677214460443,8.52657545166434,8.5573815089038,8.80968574091289
"3",3,0.12466762107579,90.5805452091364,0.0722014539639118,7.59683299802659,7.61089016696064,7.97304859861313
"4",4,0.120070960484836,68.3634241567728,0.0639759077133836,6.82098049034122,6.83139682780586,7.26838626213054
"5",5,0.108200669457437,53.6222409332241,-0.0811382187775203,6.17021721186162,6.19651369336431,6.67229055360633
"6",6,0.104907284332982,45.0429502550538,-0.0853081891410374,5.62137995366586,5.65773667013143,6.16563117024147
"7",7,0.247749813289892,47.9853597866374,0.0344373409160441,5.15581367968607,5.20206833871432,5.73276209915254
"8",8,0.252164037762814,43.4900198734308,0.0420640569241816,4.75847201746262,4.81410834639418,5.36087706283303
"9",9,0.000665031818989095,2.02600790984333,-0.247655972882058,4.41720021831301,4.4814689187828,5.03948569005403
"10",10,0.0071916328075151,7.62319643877282,-0.202567259319786,4.1221630913633,4.19417339468485,4.75998753968909
"11",12,0.0797943758801524,-22.1625507651051,0.081475762891802,3.64040080247576,3.72498003954336,4.30965405213848
"12",14,0.0533317118552747,-16.145946542216,-0.0620458782352182,3.26568370903251,3.35027500236885,3.98020390228933
"13",16,0.00981581265064964,-6.2340040225594,-0.0209243885358024,2.96643256524007,3.02897125518943,3.71510091997359
"14",18,0.0172870670584467,8.03409770981803,-0.0931114469471079,2.72144994698515,2.7636170808702,3.49479559880465
"15",20,0.000850473037400612,-1.61332955336985,-0.190223006329732,2.51634824825624,2.53995844601833,3.30631806781179
