"","Length","Symbol","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"63",7561,"Phf3",2798,2504,1902,1740,2231,2194,2611,2740,1825,1709,802,776
"64",4129,"Ptp4a1",2493,2611,2068,1697,1719,1392,2009,1986,1268,1150,681,599
"65",1937,"Prim2",425,388,339,275,177,176,537,496,370,239,195,166
"66",4487,"Rab23",319,271,245,244,342,354,193,212,48,46,43,46
"67",1815,"Bag2",804,1071,2241,1917,1276,1036,534,577,708,600,222,232
"68",3650,"Zfp451",543,489,618,548,396,460,492,567,350,295,134,168
"69",3016,"Gm15455",222,214,186,160,124,116,183,208,161,114,68,92
"70",23242,"Dst",31072,36904,16894,27489,56478,44370,7210,6921,4323,5308,3578,3500
"71",1705,"Ccdc115",250,216,241,136,90,96,244,289,224,169,115,152
"72",2249,"Imp4",782,689,633,472,321,354,969,902,958,762,430,465
"73",3559,"D1Ertd448e",281,241,213,148,94,100,373,349,184,152,80,86
"74",1578,"Ptpn18",47,53,64,47,15,14,1099,1345,1223,1359,985,1184
"75",2714,"Arhgef4",181,228,251,169,138,152,70,65,42,43,10,4
"76",5080,"Fam168b",6028,5643,6557,5811,5162,4708,4211,4752,4091,3482,1764,1717
"77",5469,"Plekhb2",488,557,398,361,314,268,1395,1428,329,377,262,247
"78",3719,"Hs6st1",4283,3843,3703,3682,2181,1817,3587,3776,5203,4797,2101,2097
"79",9029,"Uggt1",2932,2375,2220,2113,1951,2043,2730,2692,3120,2388,2553,2691
"80",2583,"Neurl3",204,294,63,29,44,26,67,79,7,6,14,15
"81",5699,"Arid5a",19388,14215,6976,6965,10862,10687,3911,3897,1590,1328,1643,1777
"82",4663,"Kansl3",2331,2293,2202,2021,1987,1817,2254,2375,1815,1660,825,855
"83",2225,"Lman2l",367,287,297,246,273,254,696,778,356,302,406,382
"84",4582,"Cnnm4",1581,1359,998,698,658,617,685,740,346,212,284,322
"85",5283,"Cnnm3",396,268,117,121,101,173,519,454,318,240,319,349
"86",1954,"Ankrd23",128,105,92,105,110,119,139,203,103,95,105,125
"87",1786,"Ankrd39",96,101,133,112,98,115,140,163,106,86,97,124
"88",3805,"Sema4c",7026,5219,5233,4421,2553,2422,6550,6010,2300,2049,978,792
"89",2577,"Fam178b",14,6,17,16,18,13,35,44,91,42,4,2
"90",569,"Cox5b",646,583,787,780,476,464,857,833,908,717,596,619
"91",2077,"Actr1b",2703,2537,2563,2524,2471,2248,1965,2234,2116,1835,1304,1306
"92",2180,"Zap70",1,19,13,10,2,4,1,4,0,0,1,0
