"","Length","Symbol","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"5880",109,"Mir683-1",0,0,0,0,0,0,0,0,0,0,0,0
"5881",109,"Mir683-2",0,0,0,0,0,0,0,0,0,0,0,0
"5882",649,"Gm904",0,0,0,0,0,0,0,0,0,0,0,0
"5883",2471,"Gm19663",0,0,0,0,0,0,0,0,0,0,0,0
"5884",3109,"Spata31e4",0,0,0,0,0,0,0,0,0,0,0,0
"5885",1185,"4930518P08Rik",0,0,0,0,0,0,0,0,0,0,0,0
"5886",3558,"Gm8777",0,0,0,0,0,0,0,0,0,0,0,0
"5887",2990,"9430083A17Rik",9,3,7,7,6,11,19,22,10,12,11,4
"5888",4479,"Spin1",2090,1933,2576,2307,1797,1736,1685,1655,1152,1038,383,348
"5889",1163,"Nxnl2",14,20,21,13,8,10,10,11,2,1,2,2
"5890",3480,"H2af-ps2",665,763,871,781,743,622,785,967,629,694,280,270
"5891",4484,"S1pr3",399,489,261,318,173,176,17,36,20,10,6,7
"5892",1537,"Shc3",0,0,1,0,0,0,0,0,0,0,0,0
"5893",694,"Cks2",232,187,242,157,58,76,236,204,176,137,141,128
"5894",2913,"Secisbp2",301,233,226,211,182,180,536,572,540,418,419,448
"5895",4377,"Sema4d",188,162,207,124,97,62,1103,1167,967,965,1165,1377
"5896",1081,"Gadd45g",5722,5275,5138,5986,5166,5235,4808,7222,6281,6897,3620,4403
"5897",3272,"4921525O09Rik",0,0,0,0,1,2,7,49,0,0,0,1
"5898",4348,"Diras2",76,81,253,241,275,304,1,0,0,1,0,0
"5899",733,"Gm2848",0,0,0,0,0,0,0,0,0,0,0,0
"5900",5272,"Syk",22,21,22,26,14,8,5,9,0,1,54,37
"5901",2308,"BB123696",1,3,18,33,31,32,3,5,0,11,150,171
"5902",1345,"Auh",270,245,207,217,244,329,314,318,221,278,192,194
"5903",1992,"Nfil3",5992,5039,4646,3992,3145,3711,1341,1412,515,474,1204,1385
"5904",3970,"Ror2",285,312,469,314,347,312,65,94,7,2,0,0
